1,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Manual_50pts,3,Pair 3,1,1554,602,2.169694424,4.348338604,-0.15495187,1569.342185,606.4384106,15.97129045
2k_Manual_50pts,3,Pair 3,2,1384,590,1.565057993,4.420692444,-0.122775726,1390.160063,593.0398556,6.869286656
2k_Manual_50pts,3,Pair 3,3,1378,712,1.548813105,4.378613472,-0.550698757,1388.493524,710.8844656,10.55265222
2k_Manual_50pts,3,Pair 3,4,1548,721,2.15353775,4.317194939,-0.564489305,1567.398373,721.4656482,19.40396071
2k_Manual_50pts,4,Pair 4,1,1522,598,2.128122807,4.506841183,-0.143206581,1536.815681,600.3428898,14.9997849
2k_Manual_50pts,4,Pair 4,2,1394,591,1.574003935,4.320743084,-0.111110955,1402.73249,591.3613727,8.739963691
2k_Manual_50pts,4,Pair 4,3,1393,714,1.581758618,4.293738842,-0.532387614,1406.481819,709.5454958,14.19866336
2k_Manual_50pts,4,Pair 4,4,1522,717,2.134858847,4.473426819,-0.562333286,1541.414481,714.2179205,19.61280246
2k_Manual_50pts,4,Pair 4,5,1745,724,3.196326017,4.741240501,-0.621527731,1776.998366,722.770649,32.02197275
2k_Manual_50pts,5,Pair 5,1,1290,584,1.438877106,5.1793046,-0.136691839,1296.564324,586.0993815,6.891861067
2k_Manual_50pts,5,Pair 5,2,1157,573,0.872162819,5.069969177,-0.092112206,1167.767911,574.1770296,10.83204956
2k_Manual_50pts,5,Pair 5,3,1290,682,1.424885988,5.146717072,-0.564948678,1294.274752,686.5446747,6.23919662
2k_Manual_50pts,5,Pair 5,4,1156,674,0.847511411,5.074458122,-0.497062236,1160.485318,669.2736413,6.515868685
2k_Manual_50pts,6,Pair 6,1,1128,573,0.789323032,5.42399168,-0.119304411,1135.255084,576.7866983,8.183845197
2k_Manual_50pts,6,Pair 6,2,1001,562,0.168054953,5.537057877,-0.069137663,997.1170484,562.5729191,3.924990379
2k_Manual_50pts,6,Pair 6,3,993,651,0.143021345,5.502000332,-0.478945971,990.5742305,651.4313583,2.463823787
2k_Manual_50pts,6,Pair 6,4,1121,665,0.756538332,5.381266117,-0.519747257,1128.168324,665.9803702,7.235053269
2k_Manual_50pts,6,Pair 6,5,400,685,-1.662195802,3.40576911,-0.358266354,388.0332299,675.1304417,15.51166552
2k_Manual_50pts,7,Pair 7,1,967,559,0.02161487,4.847380161,-0.067640975,968.2435838,566.5288768,7.630890241
2k_Manual_50pts,7,Pair 7,2,829,550,-0.607072353,4.94166708,-0.043250546,816.7841371,557.4740571,14.32092302
2k_Manual_50pts,7,Pair 7,3,962,665,0.002564476,4.872560978,-0.465800941,961.89545,663.0549445,1.947863337
2k_Manual_50pts,7,Pair 7,4,821,659,-0.625349879,4.897645473,-0.451493651,809.3107669,656.6049645,11.93207299
2k_Manual_50pts,8,Pair 8,1,815,551,-0.56484884,4.293528557,-0.019107917,810.1185776,555.539181,6.665766938
2k_Manual_50pts,8,Pair 8,2,653,541,-1.196886659,4.310802937,-0.003844097,635.1711408,548.5234622,19.35124554
2k_Manual_50pts,8,Pair 8,3,647,661,-1.191316247,4.225700378,-0.398281366,628.3851882,659.7689653,18.65547281
2k_Manual_50pts,8,Pair 8,4,805,672,-0.582899034,4.288036346,-0.433390558,802.7285465,669.4109183,3.444248068
2k_Manual_50pts,9,Pair 9,1,677,545,-1.020405769,4.015432835,0.008444885,666.3464715,547.3052288,10.90008024
2k_Manual_50pts,9,Pair 9,2,491,535,-1.584828973,3.82520628,0.053966731,474.2144258,531.4297131,17.16107372
2k_Manual_50pts,9,Pair 9,3,479,673,-1.587715626,3.783632994,-0.366909027,465.5167672,663.7995256,16.32318277
2k_Manual_50pts,9,Pair 9,4,671,678,-1.038771152,4.012162685,-0.406148463,658.0093725,669.3350662,15.6152964
2k_Manual_50pts,10,Pair 10,1,510,538,-1.393873453,3.538686991,0.055015773,503.4607938,532.5568966,8.508148599
2k_Manual_50pts,10,Pair 10,2,301,526,-1.995245218,3.454949141,0.100693762,281.4427795,513.5226001,23.19849957
2k_Manual_50pts,10,Pair 10,3,286,680,-2.010130644,3.412713528,-0.337880194,265.8918328,666.1337626,24.4256203
2k_Manual_50pts,10,Pair 10,4,498,687,-1.426668763,3.52849865,-0.377753794,487.7976538,677.480901,13.95353412
2k_Manual_50pts,11,Pair 11,1,1338,826,1.173133373,3.666062593,-0.793741107,1345.874231,821.2777968,9.181650862
2k_Manual_50pts,11,Pair 11,2,1140,804,0.583477318,3.787935257,-0.781006396,1146.128735,802.6275152,6.280533874
2k_Manual_50pts,11,Pair 11,3,1131,947,0.563111663,3.766828537,-1.215848684,1139.874611,942.9389186,9.759667255
2k_Manual_50pts,11,Pair 11,4,1330,973,1.157888412,3.618514299,-1.222074389,1345.210062,967.239184,16.2644701
2k_Manual_50pts,12,Pair 12,1,1124,744,0.719046295,4.959563732,-0.805146515,1133.306065,746.2572166,9.57590019
2k_Manual_50pts,12,Pair 12,2,992,739,0.125852913,4.774870396,-0.772687078,991.7134013,742.9523796,3.962757068
2k_Manual_50pts,12,Pair 12,3,986,853,0.103377804,4.724350452,-1.20206964,984.9291691,854.7699735,2.068691613
2k_Manual_50pts,12,Pair 12,4,1121,853,0.693334997,4.934185505,-1.247586966,1127.108219,855.8721056,6.749764976
2k_Manual_50pts,13,Pair 13,1,1329,927,0.840417683,2.665266752,-0.774264157,1338.842452,912.4058977,17.60288841
2k_Manual_50pts,13,Pair 13,2,1080,873,0.279837459,2.90625453,-0.75943017,1081.097859,869.5602392,3.610712925
2k_Manual_50pts,13,Pair 13,3,1057,1066,0.23549521,2.832612276,-1.180762529,1064.442321,1054.495424,13.70194929
2k_Manual_50pts,14,Pair 14,1,1477,541,1.214520335,2.824749708,0.063695192,1479.293917,548.7182065,8.051879801
2k_Manual_50pts,14,Pair 14,2,1216,524,0.644572496,3.027292728,0.089092061,1220.627493,533.647473,10.69987995
2k_Manual_50pts,14,Pair 14,3,1207,698,0.614379764,2.955450058,-0.343248039,1212.732044,702.768499,7.456199462
2k_Manual_50pts,14,Pair 14,4,1470,726,1.192061186,2.809343576,-0.360411644,1470.218148,724.9759499,1.047027706
2k_Manual_50pts,15,Pair 15,1,1151,513,0.388175249,2.445595026,0.101069145,1159.807575,527.7230218,17.15636153
2k_Manual_50pts,15,Pair 15,2,870,498,-0.212956175,2.435207605,0.130796671,881.2580424,509.3128993,15.96011307
2k_Manual_50pts,15,Pair 15,3,856,702,-0.241929248,2.398650885,-0.298250467,863.0292358,710.4484971,10.99032571
2k_Manual_50pts,15,Pair 15,4,1142,728,0.379656255,2.466568708,-0.340950578,1151.585728,731.1960124,10.10448775
